Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Mileage_per_Year,Premium_Brand,High_Mileage
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,9,2300.0,0,0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,10,3636.3636363636365,0,1
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,8,1666.6666666666667,0,0
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,10,3454.5454545454545,0,1
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,20,9389.333333333334,0,1
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,19,7100.0,0,1
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,15,4875.0,0,1
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,13,4000.0,0,1
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,12,3615.3846153846152,0,1
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,11,3333.3333333333335,0,1
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,16,3647.0588235294117,0,1
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,11,4853.5,0,1
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,20,3571.4285714285716,0,1
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,10,3636.3636363636365,0,1
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,17,4944.444444444444,0,1
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,13,5142.857142857143,0,1
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,9,2900.0,0,0
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,8,966.6666666666666,0,0
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,12,3461.5384615384614,0,1
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,15,3126.5,0,1
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,9,300.0,0,0
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,8,155.55555555555554,0,0
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,8,444.44444444444446,0,0
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,8,133.33333333333334,0,0
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,8,455.55555555555554,0,0
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,10,1972.7272727272727,0,0
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,11,1375.0,0,0
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,12,1153.8461538461538,0,0
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,9,1800.0,0,0
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,8,1222.2222222222222,0,0
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,9,600.0,0,0
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,9,870.0,0,0
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,11,583.3333333333334,0,0
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,9,3500.0,0,1
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,10,1545.4545454545455,0,0
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,10,1590.909090909091,0,0
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,12,2538.4615384615386,0,1
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,10,1272.7272727272727,0,0
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,10,2363.6363636363635,0,0
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,12,415.38461538461536,0,0
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,9,570.0,0,0
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,14,460.0,0,0
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,9,600.0,0,0
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,12,3576.923076923077,0,1
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,13,821.4285714285714,0,0
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,16,2352.9411764705883,0,1
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,8,144.44444444444446,0,0
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,9,700.0,0,0
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,8,333.3333333333333,1,0
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,8,555.5555555555555,0,0
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,8,1222.2222222222222,1,0
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,10,1636.3636363636363,0,0
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,8,388.8888888888889,0,0
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,9,50.0,0,0
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,8,1311.111111111111,0,0
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,10,454.54545454545456,0,0
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,11,1958.3333333333333,1,0
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,12,1230.7692307692307,0,0
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,9,1500.0,1,0
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,10,1509.090909090909,0,0
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,12,2461.5384615384614,1,0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,9,2000.0,0,0
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,10,2636.3636363636365,0,0
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,9,2500.0,0,0
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,11,2083.3333333333335,0,0
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,13,1357.142857142857,0,0
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,11,1250.0,0,0
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,10,5272.727272727273,0,1
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,15,2812.5,0,1
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,9,2400.0,0,0
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,14,400.0,0,0
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,9,3100.0,0,0
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,13,928.5714285714286,0,0
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,12,3461.5384615384614,0,1
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,11,666.6666666666666,0,0
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,8,477.77777777777777,1,0
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,8,1666.6666666666667,0,0
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,10,2090.909090909091,0,0
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,8,955.5555555555555,1,0
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,8,444.44444444444446,1,0
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,14,1600.0,0,0
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,11,1916.6666666666667,0,0
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,13,1035.7142857142858,0,0
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,15,1687.5,0,0
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,9,1400.0,0,0
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,9,50.0,0,0
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,9,100.0,0,0
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,11,3500.0,0,1
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,12,923.0769230769231,1,0
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,10,1272.7272727272727,0,0
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,13,392.85714285714283,0,0
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,10,609.0909090909091,0,0
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,11,1141.6666666666667,0,0
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,8,144.44444444444446,0,0
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,10,3509.090909090909,1,1
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,14,5000.0,1,1
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,14,2000.0,1,0
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,9,2400.0,1,0
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,11,1583.3333333333333,0,0
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,15,13312.5,1,1
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,13,4285.714285714285,1,1
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,9,5000.0,0,1
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,12,2307.6923076923076,1,0
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,12,1615.3846153846155,0,0
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,17,1444.4444444444443,0,0
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,17,105.55555555555556,0,0
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,15,1375.0,0,0
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,12,2461.5384615384614,1,0
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,12,1384.6153846153845,0,0
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,20,2619.0476190476193,0,1
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,17,3333.3333333333335,0,1
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,13,1785.7142857142858,0,0
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,18,2578.9473684210525,0,1
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,12,1846.1538461538462,0,0
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,17,2777.777777777778,0,1
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,10,3181.818181818182,0,1
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,17,27777.777777777777,0,1
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,15,2062.5,1,1
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,14,2333.3333333333335,0,1
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,18,2789.4736842105262,1,1
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,19,4611.65,0,1
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,15,3625.0,0,1
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,10,2563.6363636363635,0,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,14,3564.0,0,1
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,10,2571.090909090909,0,0
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,9,349.3,0,0
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,8,1386.5555555555557,0,0
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,10,3163.3636363636365,0,1
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,8,381.6666666666667,0,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,10,1920.4545454545455,0,0
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,13,2555.3571428571427,0,1
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,10,3957.7272727272725,0,1
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,9,2267.1,0,0
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,14,2106.9333333333334,0,0
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,8,2234.8888888888887,0,0
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,13,2578.5714285714284,0,1
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,9,1250.0,0,0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,9,1500.0,0,0
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,11,3756.5,0,1
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,13,2571.4285714285716,0,1
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,8,4276.444444444444,0,1
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,12,2461.5384615384614,0,0
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,11,6469.333333333333,0,1
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,10,5580.090909090909,0,1
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,12,2784.4615384615386,0,1
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,14,1501.1333333333334,0,0
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,10,2243.4545454545455,0,0
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,14,3800.0,0,1
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,13,4285.714285714285,0,1
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,13,3723.714285714286,0,1
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,12,3461.5384615384614,0,1
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,8,1666.7777777777778,0,0
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,10,1172.7272727272727,0,0
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,12,4076.923076923077,0,1
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,10,408.3636363636364,0,0
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,8,1682.3333333333333,0,0
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,9,1184.9,0,0
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,10,6181.818181818182,0,1
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,12,4633.923076923077,0,1
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,13,1693.5,0,0
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,13,2308.714285714286,0,1
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,10,3260.5454545454545,0,1
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,11,2833.3333333333335,0,1
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,9,700.0,0,0
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,12,3769.230769230769,0,1
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,13,5071.428571428572,0,1
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,13,2500.0,0,1
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,10,3272.7272727272725,0,1
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,12,2307.6923076923076,0,0
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,9,1700.0,0,0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,9,3593.4,0,1
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,12,4361.615384615385,0,1
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,10,2857.0,0,0
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,11,4000.0,0,1
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,12,4172.461538461538,0,1
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,13,3833.9285714285716,0,1
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,9,4956.2,0,1
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,10,3665.818181818182,0,1
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,10,2272.7272727272725,0,0
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,11,3004.5,0,1
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,9,2922.3,0,0
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,9,560.0,0,0
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,10,3638.4545454545455,0,1
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,9,1600.2,0,0
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,10,3638.7272727272725,0,1
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,8,2355.5555555555557,0,0
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,11,2916.6666666666665,0,1
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,9,1943.4,0,0
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,8,2111.1111111111113,0,0
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,10,1711.6363636363637,0,0
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,14,4622.733333333334,0,1
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,16,4091.8823529411766,0,1
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,10,2509.090909090909,0,0
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,15,3825.1875,0,1
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,11,1375.0,0,0
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,9,3075.3,0,0
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,10,2254.5454545454545,0,0
